Region,Category,Indicator,Year,Quarter,Value
China,Foreign Trade,Imports,2020,4,12.5283
China,Foreign Trade,Imports,2021,1,16.4394
China,Foreign Trade,Imports,2021,2,15.5041
China,Foreign Trade,Imports,2021,3,15.0295
China,Foreign Trade,Imports,2021,4,13.7587
China,Foreign Trade,Imports,2022,1,16.3863
China,Foreign Trade,Imports,2022,2,15.5710
China,Foreign Trade,Imports,2022,3,15.0904
China,Foreign Trade,Imports,2022,4,14.1015
China,Foreign Trade,Imports,2023,1,15.8225
China,Foreign Trade,Imports,2023,2,14.6283
China,Foreign Trade,Imports,2023,3,14.0452
China,Industrial Production,Industrial Production Index,2020,1,94.9412
China,Industrial Production,Industrial Production Index,2020,2,98.9504
China,Industrial Production,Industrial Production Index,2020,3,97.5135
China,Industrial Production,Industrial Production Index,2020,4,107.7361
China,Industrial Production,Industrial Production Index,2021,1,112.6174
China,Industrial Production,Industrial Production Index,2021,2,118.8062
China,Industrial Production,Industrial Production Index,2021,3,111.5168
China,Industrial Production,Industrial Production Index,2021,4,106.0999
China,Industrial Production,Industrial Production Index,2022,1,98.1862
China,Industrial Production,Industrial Production Index,2022,2,89.9751
China,Industrial Production,Industrial Production Index,2022,3,93.4118
China,Industrial Production,Industrial Production Index,2022,4,95.7522
China,Industrial Production,Industrial Production Index,2023,1,111.5709
China,Industrial Production,Industrial Production Index,2023,2,108.7139
China,Industrial Production,Industrial Production Index,2023,3,107.7921
China,Industrial Production,Industrial Production Index,2023,4,105.3477
China,Industrial Production,Industrial Production Index,2024,1,97.0853
China,Price Level,CPI (All Items),2020,1,112.9333
China,Price Level,CPI (All Items),2020,2,110.7000
China,Price Level,CPI (All Items),2020,3,111.0667
China,Price Level,CPI (All Items),2020,4,111.2000
China,Price Level,CPI (All Items),2021,1,112.8103
China,Price Level,CPI (All Items),2021,2,112.1038
China,Price Level,CPI (All Items),2021,3,112.1782
China,Price Level,CPI (All Items),2021,4,113.1821
China,Price Level,CPI (All Items),2022,1,114.1116
China,Price Level,CPI (All Items),2022,2,114.6322
China,Price Level,CPI (All Items),2022,3,115.1528
China,Price Level,CPI (All Items),2022,4,115.2643
China,Price Level,CPI (All Items),2023,1,115.5246
China,Price Level,CPI (All Items),2023,2,114.7437
China,Price Level,CPI (All Items),2023,3,115.0784
China,Price Level,CPI (All Items),2023,4,114.8925
China,Price Level,CPI (All Items),2024,1,115.4874
China,Price Level,CPI (All Items),2024,2,115.0040
China,Price Level,CPI (All Items),2024,3,115.6361
China,Price Level,CPI (All Items),2024,4,115.1156
China,Price Level,CPI YoY Growth Rate,2020,1,4.9667
China,Price Level,CPI YoY Growth Rate,2020,2,2.7333
China,Price Level,CPI YoY Growth Rate,2020,3,2.2667
China,Price Level,CPI YoY Growth Rate,2020,4,0.0667
China,Price Level,CPI YoY Growth Rate,2021,1,-0.0333
China,Price Level,CPI YoY Growth Rate,2021,2,1.1000
China,Price Level,CPI YoY Growth Rate,2021,3,0.8333
China,Price Level,CPI YoY Growth Rate,2021,4,1.7667
China,Price Level,CPI YoY Growth Rate,2022,1,1.1000
China,Price Level,CPI YoY Growth Rate,2022,2,2.2333
China,Price Level,CPI YoY Growth Rate,2022,3,2.6667
China,Price Level,CPI YoY Growth Rate,2022,4,1.8333
China,Price Level,CPI YoY Growth Rate,2023,1,1.2667
China,Price Level,CPI YoY Growth Rate,2023,2,0.1000
China,Price Level,CPI YoY Growth Rate,2023,3,-0.0667
China,Price Level,CPI YoY Growth Rate,2023,4,-0.3333
China,Price Level,CPI YoY Growth Rate,2024,1,-0.0000
China,Price Level,CPI YoY Growth Rate,2024,2,0.2667
China,Price Level,CPI YoY Growth Rate,2024,3,0.5000
China,Price Level,CPI YoY Growth Rate,2024,4,0.2000
China,Real Estate,House Price Index,2020,1,107.1595
China,Real Estate,House Price Index,2020,2,109.9375
China,Real Estate,House Price Index,2020,3,110.3074
China,Real Estate,House Price Index,2020,4,111.2144
China,Real Estate,House Price Index,2021,1,110.5531
China,Real Estate,House Price Index,2021,2,112.6308
China,Real Estate,House Price Index,2021,3,112.9908
China,Real Estate,House Price Index,2021,4,111.0876
China,Real Estate,House Price Index,2022,1,109.3304
China,Real Estate,House Price Index,2022,2,107.8288
China,Real Estate,House Price Index,2022,3,106.4509
China,Real Estate,House Price Index,2022,4,105.0432
China,Real Estate,House Price Index,2023,1,104.3427
China,Real Estate,House Price Index,2023,2,104.8471
China,Real Estate,House Price Index,2023,3,103.1349
China,Real Estate,House Price Index,2023,4,101.4751
China,Real Estate,House Price Index,2024,1,98.9629
China,Real Estate,House Price Index,2024,2,96.8513
China,Real Estate,House Price Index,2024,3,93.8230
China,Real Estate,House Price Index,2024,4,92.5967
Japan,Consumer Confidence,Consumer Confidence Index,2020,1,98.0800
Japan,Consumer Confidence,Consumer Confidence Index,2020,2,95.6860
Japan,Consumer Confidence,Consumer Confidence Index,2020,3,96.8877
Japan,Consumer Confidence,Consumer Confidence Index,2020,4,97.4413
Japan,Consumer Confidence,Consumer Confidence Index,2021,1,97.6957
Japan,Consumer Confidence,Consumer Confidence Index,2021,2,98.3680
Japan,Consumer Confidence,Consumer Confidence Index,2021,3,98.8499
Japan,Consumer Confidence,Consumer Confidence Index,2021,4,99.1412
Japan,Consumer Confidence,Consumer Confidence Index,2022,1,98.2026
Japan,Consumer Confidence,Consumer Confidence Index,2022,2,97.3728
Japan,Consumer Confidence,Consumer Confidence Index,2022,3,97.0643
Japan,Consumer Confidence,Consumer Confidence Index,2022,4,96.8970
Japan,Consumer Confidence,Consumer Confidence Index,2023,1,97.4122
Japan,Consumer Confidence,Consumer Confidence Index,2023,2,98.3620
Japan,Consumer Confidence,Consumer Confidence Index,2023,3,98.4575
Japan,Consumer Confidence,Consumer Confidence Index,2023,4,98.5169
Japan,Consumer Confidence,Consumer Confidence Index,2024,1,98.9469
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2020,1,-1.7612
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2020,2,-9.6431
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2020,3,-4.9045
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2020,4,-0.3954
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2021,1,-0.6651
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2021,2,8.2114
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2021,3,2.2653
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2021,4,1.6739
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2022,1,0.9464
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2022,2,1.2120
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2022,3,1.2386
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2022,4,0.3360
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2023,1,2.1199
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2023,2,1.3964
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2023,3,0.8993
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2023,4,0.5700
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2024,1,-0.9435
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2024,2,-0.6656
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2024,3,0.7176
Japan,Economic Growth,Real GDP Growth Rate (Annualized),2024,4,1.3450
Japan,Economic Output,Real GDP,2020,1,"544,313.2000"
Japan,Economic Output,Real GDP,2020,2,"503,089.5000"
Japan,Economic Output,Real GDP,2020,3,"530,281.9000"
Japan,Economic Output,Real GDP,2020,4,"539,391.8000"
Japan,Economic Output,Real GDP,2021,1,"540,641.0000"
Japan,Economic Output,Real GDP,2021,2,"544,556.0000"
Japan,Economic Output,Real GDP,2021,3,"542,226.8000"
Japan,Economic Output,Real GDP,2021,4,"548,380.5000"
Japan,Economic Output,Real GDP,2022,1,"545,661.1000"
Japan,Economic Output,Real GDP,2022,2,"551,449.0000"
Japan,Economic Output,Real GDP,2022,3,"548,755.4000"
Japan,Economic Output,Real GDP,2022,4,"550,213.5000"
Japan,Economic Output,Real GDP,2023,1,"557,152.2000"
Japan,Economic Output,Real GDP,2023,2,"559,383.0000"
Japan,Economic Output,Real GDP,2023,3,"553,577.7000"
Japan,Economic Output,Real GDP,2023,4,"553,308.7000"
Japan,Economic Output,Real GDP,2024,1,"551,779.2000"
Japan,Economic Output,Real GDP,2024,2,"555,861.7000"
Japan,Economic Output,Real GDP,2024,3,"557,451.2000"
Japan,Economic Output,Real GDP,2024,4,"560,774.2000"
Japan,Employment,Unemployment Rate,2020,1,2.4333
Japan,Employment,Unemployment Rate,2020,2,2.7333
Japan,Employment,Unemployment Rate,2020,3,2.9667
Japan,Employment,Unemployment Rate,2020,4,3.0667
Japan,Employment,Unemployment Rate,2021,1,2.8667
Japan,Employment,Unemployment Rate,2021,2,2.9000
Japan,Employment,Unemployment Rate,2021,3,2.7667
Japan,Employment,Unemployment Rate,2021,4,2.7333
Japan,Employment,Unemployment Rate,2022,1,2.7000
Japan,Employment,Unemployment Rate,2022,2,2.6000
Japan,Employment,Unemployment Rate,2022,3,2.5333
Japan,Employment,Unemployment Rate,2022,4,2.5333
Japan,Employment,Unemployment Rate,2023,1,2.6000
Japan,Employment,Unemployment Rate,2023,2,2.5333
Japan,Employment,Unemployment Rate,2023,3,2.6000
Japan,Employment,Unemployment Rate,2023,4,2.5667
Japan,Employment,Unemployment Rate,2024,1,2.5667
Japan,Employment,Unemployment Rate,2024,2,2.5667
Japan,Employment,Unemployment Rate,2024,3,2.5000
Japan,Employment,Unemployment Rate,2024,4,2.5000
Japan,Foreign Trade,Exports,2020,1,13.3381
Japan,Foreign Trade,Exports,2020,2,11.1991
Japan,Foreign Trade,Exports,2020,3,12.3261
Japan,Foreign Trade,Exports,2020,4,13.5524
Japan,Foreign Trade,Exports,2021,1,14.4457
Japan,Foreign Trade,Exports,2021,2,15.0646
Japan,Foreign Trade,Exports,2021,3,15.0248
Japan,Foreign Trade,Exports,2021,4,15.4584
Japan,Foreign Trade,Exports,2022,1,16.5413
Japan,Foreign Trade,Exports,2022,2,17.2665
Japan,Foreign Trade,Exports,2022,3,18.1764
Japan,Foreign Trade,Exports,2022,4,17.9924
Japan,Foreign Trade,Exports,2023,1,16.5867
Japan,Foreign Trade,Exports,2023,2,16.5049
Japan,Foreign Trade,Exports,2023,3,17.2373
Japan,Foreign Trade,Imports,2020,1,13.1080
Japan,Foreign Trade,Imports,2020,2,13.1061
Japan,Foreign Trade,Imports,2020,3,11.7501
Japan,Foreign Trade,Imports,2020,4,12.1845
Japan,Foreign Trade,Imports,2021,1,13.8363
Japan,Foreign Trade,Imports,2021,2,15.1066
Japan,Foreign Trade,Imports,2021,3,15.7287
Japan,Foreign Trade,Imports,2021,4,16.5763
Japan,Foreign Trade,Imports,2022,1,18.6658
Japan,Foreign Trade,Imports,2022,2,21.0853
Japan,Foreign Trade,Imports,2022,3,22.8904
Japan,Foreign Trade,Imports,2022,4,22.2045
Japan,Foreign Trade,Imports,2023,1,19.4668
Japan,Foreign Trade,Imports,2023,2,18.1003
Japan,Foreign Trade,Imports,2023,3,18.2877
Japan,Government Debt,Government Debt to GDP Ratio,2020,1,215.8204
Japan,Government Debt,Government Debt to GDP Ratio,2021,1,216.1350
Japan,Government Debt,Government Debt to GDP Ratio,2022,1,215.9064
Japan,Industrial Production,Industrial Production Index,2020,1,98.1146
Japan,Industrial Production,Industrial Production Index,2020,2,80.9218
Japan,Industrial Production,Industrial Production Index,2020,3,88.9410
Japan,Industrial Production,Industrial Production Index,2020,4,96.5654
Japan,Industrial Production,Industrial Production Index,2021,1,97.0514
Japan,Industrial Production,Industrial Production Index,2021,2,95.0770
Japan,Industrial Production,Industrial Production Index,2021,3,93.7708
Japan,Industrial Production,Industrial Production Index,2021,4,97.6286
Japan,Industrial Production,Industrial Production Index,2022,1,96.5654
Japan,Industrial Production,Industrial Production Index,2022,2,91.9787
Japan,Industrial Production,Industrial Production Index,2022,3,97.5071
Japan,Industrial Production,Industrial Production Index,2022,4,97.2945
Japan,Industrial Production,Industrial Production Index,2023,1,94.8947
Japan,Industrial Production,Industrial Production Index,2023,2,92.5558
Japan,Industrial Production,Industrial Production Index,2023,3,93.9531
Japan,Industrial Production,Industrial Production Index,2023,4,96.5351
Japan,Industrial Production,Industrial Production Index,2024,1,91.2192
Japan,Price Level,CPI (All Items),2020,1,102.1804
Japan,Price Level,CPI (All Items),2020,2,101.8750
Japan,Price Level,CPI (All Items),2020,3,101.8071
Japan,Price Level,CPI (All Items),2020,4,101.3320
Japan,Price Level,CPI (All Items),2021,1,101.6374
Japan,Price Level,CPI (All Items),2021,2,101.1283
Japan,Price Level,CPI YoY Growth Rate,2020,1,0.5000
Japan,Price Level,CPI YoY Growth Rate,2020,2,0.1000
Japan,Price Level,CPI YoY Growth Rate,2020,3,0.1667
Japan,Price Level,CPI YoY Growth Rate,2020,4,-0.8333
Japan,Price Level,CPI YoY Growth Rate,2021,1,-0.5333
Japan,Price Level,CPI YoY Growth Rate,2021,2,-0.8000
Japan,Real Estate,House Price Index,2020,1,-1.0956
Japan,Real Estate,House Price Index,2020,2,-0.8330
Japan,Real Estate,House Price Index,2020,3,-0.1508
Japan,Real Estate,House Price Index,2020,4,2.5223
Japan,Real Estate,House Price Index,2021,1,3.8961
Japan,Real Estate,House Price Index,2021,2,6.2476
Japan,Real Estate,House Price Index,2021,3,8.3252
Japan,Real Estate,House Price Index,2021,4,6.2902
Japan,Real Estate,House Price Index,2022,1,8.1216
Japan,Real Estate,House Price Index,2022,2,6.6587
Japan,Real Estate,House Price Index,2022,3,4.8469
Japan,Real Estate,House Price Index,2022,4,3.5329
Japan,Real Estate,House Price Index,2023,1,1.0671
Japan,Real Estate,House Price Index,2023,2,-0.1293
Japan,Real Estate,House Price Index,2023,3,-0.9750
Japan,Real Estate,House Price Index,2023,4,-0.8633
Japan,Real Estate,House Price Index,2024,1,-0.0346
Japan,Real Estate,House Price Index,2024,2,0.0417
Japan,Real Estate,House Price Index,2024,3,0.4514
Japan,Real Estate,House Price Index,2024,4,-0.1393
Japan,Retail,Retail Sales (Value),2020,1,101.2056
Japan,Retail,Retail Sales (Value),2020,2,94.4541
Japan,Retail,Retail Sales (Value),2020,3,101.6047
Japan,Retail,Retail Sales (Value),2020,4,101.5049
Japan,Retail,Retail Sales (Value),2021,1,102.0038
Japan,Retail,Retail Sales (Value),2021,2,100.7400
Japan,Retail,Retail Sales (Value),2021,3,101.1058
Japan,Retail,Retail Sales (Value),2021,4,102.7023
Japan,Retail,Retail Sales (Value),2022,1,102.3032
Japan,Retail,Retail Sales (Value),2022,2,103.6002
Japan,Retail,Retail Sales (Value),2022,3,104.9971
Japan,Retail,Retail Sales (Value),2022,4,106.2277
Japan,Retail,Retail Sales (Value),2023,1,108.8883
Japan,Retail,Retail Sales (Value),2023,2,109.4205
Japan,Retail,Retail Sales (Value),2023,3,112.1144
Japan,Retail,Retail Sales (Value),2023,4,110.5513
Japan,Retail,Retail Sales (Volume),2020,1,-1.2175
Japan,Retail,Retail Sales (Volume),2020,2,1.9265
Japan,Retail,Retail Sales (Volume),2020,3,0.0879
Japan,Retail,Retail Sales (Volume),2020,4,-0.0266
Japan,Retail,Retail Sales (Volume),2021,1,0.1373
Japan,Retail,Retail Sales (Volume),2021,2,0.0457
Japan,Retail,Retail Sales (Volume),2021,3,-0.4919
Japan,Retail,Retail Sales (Volume),2021,4,0.4320
Japan,Retail,Retail Sales (Volume),2022,1,-0.2004
Japan,Retail,Retail Sales (Volume),2022,2,-0.0040
Japan,Retail,Retail Sales (Volume),2022,3,0.3088
Japan,Retail,Retail Sales (Volume),2022,4,-0.1647
Japan,Retail,Retail Sales (Volume),2023,1,0.8021
Japan,Retail,Retail Sales (Volume),2023,2,-0.1000
Japan,Retail,Retail Sales (Volume),2023,3,0.4354
Japan,Retail,Retail Sales (Volume),2023,4,-0.8971
Japan,Retail,Retail Sales (Volume),2024,1,0.2974
Japan,Retail,Retail Sales (Volume),2024,2,0.3722
Japan,Retail,Retail Sales (Volume),2024,3,-0.4478
Japan,Retail,Retail Sales (Volume),2024,4,-0.1329
UK,Consumer Confidence,Consumer Confidence Index,2020,1,100.2584
UK,Consumer Confidence,Consumer Confidence Index,2020,2,97.4740
UK,Consumer Confidence,Consumer Confidence Index,2020,3,97.8805
UK,Consumer Confidence,Consumer Confidence Index,2020,4,97.5725
UK,Consumer Confidence,Consumer Confidence Index,2021,1,99.5128
UK,Consumer Confidence,Consumer Confidence Index,2021,2,102.3501
UK,Consumer Confidence,Consumer Confidence Index,2021,3,102.1654
UK,Consumer Confidence,Consumer Confidence Index,2021,4,100.3695
UK,Consumer Confidence,Consumer Confidence Index,2022,1,97.4543
UK,Consumer Confidence,Consumer Confidence Index,2022,2,94.0245
UK,Consumer Confidence,Consumer Confidence Index,2022,3,92.6718
UK,Consumer Confidence,Consumer Confidence Index,2022,4,92.7306
UK,Consumer Confidence,Consumer Confidence Index,2023,1,94.4236
UK,Consumer Confidence,Consumer Confidence Index,2023,2,97.0692
UK,Consumer Confidence,Consumer Confidence Index,2023,3,97.7921
UK,Consumer Confidence,Consumer Confidence Index,2023,4,98.0518
UK,Consumer Confidence,Consumer Confidence Index,2024,1,99.0728
UK,Economic Growth,Real GDP Growth Rate (Annualized),2020,1,-2.7449
UK,Economic Growth,Real GDP Growth Rate (Annualized),2020,2,-19.9062
UK,Economic Growth,Real GDP Growth Rate (Annualized),2020,3,16.9647
UK,Economic Growth,Real GDP Growth Rate (Annualized),2020,4,1.3680
UK,Economic Growth,Real GDP Growth Rate (Annualized),2021,1,-1.0762
UK,Economic Growth,Real GDP Growth Rate (Annualized),2021,2,6.9823
UK,Economic Growth,Real GDP Growth Rate (Annualized),2021,3,1.6866
UK,Economic Growth,Real GDP Growth Rate (Annualized),2021,4,1.3776
UK,Economic Growth,Real GDP Growth Rate (Annualized),2022,1,1.0133
UK,Economic Growth,Real GDP Growth Rate (Annualized),2022,2,0.5579
UK,Economic Growth,Real GDP Growth Rate (Annualized),2022,3,0.1011
UK,Economic Growth,Real GDP Growth Rate (Annualized),2022,4,0.2603
UK,Economic Growth,Real GDP Growth Rate (Annualized),2023,1,0.0565
UK,Economic Growth,Real GDP Growth Rate (Annualized),2023,2,0.0414
UK,Economic Growth,Real GDP Growth Rate (Annualized),2023,3,-0.2396
UK,Economic Growth,Real GDP Growth Rate (Annualized),2023,4,-0.3214
UK,Economic Growth,Real GDP Growth Rate (Annualized),2024,1,0.8400
UK,Economic Growth,Real GDP Growth Rate (Annualized),2024,2,0.6373
UK,Economic Growth,Real GDP Growth Rate (Annualized),2024,3,0.1955
UK,Economic Growth,Real GDP Growth Rate (Annualized),2024,4,0.2408
UK,Economic Output,Real GDP (Millions GBP),2020,1,"559,365.0000"
UK,Economic Output,Real GDP (Millions GBP),2020,2,"481,227.0000"
UK,Economic Output,Real GDP (Millions GBP),2020,3,"540,319.0000"
UK,Economic Output,Real GDP (Millions GBP),2020,4,"543,809.0000"
UK,Economic Output,Real GDP (Millions GBP),2021,1,"545,116.0000"
UK,Economic Output,Real GDP (Millions GBP),2021,2,"576,525.0000"
UK,Economic Output,Real GDP (Millions GBP),2021,3,"592,707.0000"
UK,Economic Output,Real GDP (Millions GBP),2021,4,"608,304.0000"
UK,Economic Output,Real GDP (Millions GBP),2022,1,"623,014.0000"
UK,Economic Output,Real GDP (Millions GBP),2022,2,"639,293.0000"
UK,Economic Output,Real GDP (Millions GBP),2022,3,"650,233.0000"
UK,Economic Output,Real GDP (Millions GBP),2022,4,"668,409.0000"
UK,Economic Output,Real GDP (Millions GBP),2023,1,"679,194.0000"
UK,Economic Output,Real GDP (Millions GBP),2023,2,"689,618.0000"
UK,Economic Output,Real GDP (Millions GBP),2023,3,"692,982.0000"
UK,Economic Output,Real GDP (Millions GBP),2023,4,"690,370.0000"
UK,Economic Output,Real GDP (Millions GBP),2024,1,"706,118.0000"
UK,Economic Output,Real GDP (Millions GBP),2024,2,"714,628.0000"
UK,Economic Output,Real GDP (Millions GBP),2024,3,"727,181.0000"
UK,Economic Output,Real GDP (Millions GBP),2024,4,"736,079.0000"
UK,Employment,Unemployment Rate,2020,1,4.0333
UK,Employment,Unemployment Rate,2020,2,4.2000
UK,Employment,Unemployment Rate,2020,3,4.9333
UK,Employment,Unemployment Rate,2020,4,5.2333
UK,Employment,Unemployment Rate,2021,1,4.9000
UK,Employment,Unemployment Rate,2021,2,4.7000
UK,Employment,Unemployment Rate,2021,3,4.4000
UK,Employment,Unemployment Rate,2021,4,4.1667
UK,Employment,Unemployment Rate,2022,1,3.8333
UK,Employment,Unemployment Rate,2022,2,3.7000
UK,Employment,Unemployment Rate,2022,3,3.7000
UK,Employment,Unemployment Rate,2022,4,3.9000
UK,Employment,Unemployment Rate,2023,1,3.9667
UK,Employment,Unemployment Rate,2023,2,4.1667
UK,Employment,Unemployment Rate,2023,3,4.1333
UK,Employment,Unemployment Rate,2023,4,4.0000
UK,Employment,Unemployment Rate,2024,1,4.3000
UK,Employment,Unemployment Rate,2024,2,4.2667
UK,Employment,Unemployment Rate,2024,3,4.2333
UK,Employment,Unemployment Rate,2024,4,4.4000
UK,Foreign Trade,Exports,2020,1,14.2652
UK,Foreign Trade,Exports,2020,2,12.9009
UK,Foreign Trade,Exports,2020,3,13.6648
UK,Foreign Trade,Exports,2020,4,14.6839
UK,Foreign Trade,Exports,2021,1,13.1819
UK,Foreign Trade,Exports,2021,2,13.7057
UK,Foreign Trade,Exports,2021,3,13.4569
UK,Foreign Trade,Exports,2021,4,14.1235
UK,Foreign Trade,Exports,2022,1,13.9438
UK,Foreign Trade,Exports,2022,2,14.8367
UK,Foreign Trade,Exports,2022,3,15.5745
UK,Foreign Trade,Exports,2022,4,14.9784
UK,Foreign Trade,Exports,2023,1,14.0688
UK,Foreign Trade,Exports,2023,2,13.6100
UK,Foreign Trade,Exports,2023,3,13.1141
UK,Foreign Trade,Imports,2020,1,19.3125
UK,Foreign Trade,Imports,2020,2,18.0137
UK,Foreign Trade,Imports,2020,3,20.1237
UK,Foreign Trade,Imports,2020,4,22.5875
UK,Foreign Trade,Imports,2021,1,19.6087
UK,Foreign Trade,Imports,2021,2,20.7208
UK,Foreign Trade,Imports,2021,3,21.1313
UK,Foreign Trade,Imports,2021,4,22.2523
UK,Foreign Trade,Imports,2022,1,24.4312
UK,Foreign Trade,Imports,2022,2,25.4763
UK,Foreign Trade,Imports,2022,3,25.2169
UK,Foreign Trade,Imports,2022,4,25.2174
UK,Foreign Trade,Imports,2023,1,22.2691
UK,Foreign Trade,Imports,2023,2,21.9249
UK,Foreign Trade,Imports,2023,3,20.2172
UK,Government Debt,Government Debt to GDP Ratio,2020,1,196.6406
UK,Government Debt,Government Debt to GDP Ratio,2021,1,186.7949
UK,Government Debt,Government Debt to GDP Ratio,2022,1,141.2444
UK,Government Debt,Government Debt to GDP Ratio,2023,1,138.6443
UK,Price Level,CPI (All Items),2020,1,108.5000
UK,Price Level,CPI (All Items),2020,2,108.6667
UK,Price Level,CPI (All Items),2020,3,109.0667
UK,Price Level,CPI (All Items),2020,4,109.2333
UK,Price Level,CPI (All Items),2021,1,109.4667
UK,Price Level,CPI (All Items),2021,2,110.9333
UK,Price Level,CPI (All Items),2021,3,111.9667
UK,Price Level,CPI (All Items),2021,4,114.0667
UK,Price Level,CPI (All Items),2022,1,115.5000
UK,Price Level,CPI (All Items),2022,2,119.7333
UK,Price Level,CPI (All Items),2022,3,121.7667
UK,Price Level,CPI (All Items),2022,4,124.8000
UK,Price Level,CPI (All Items),2023,1,125.8667
UK,Price Level,CPI (All Items),2023,2,128.9333
UK,Price Level,CPI (All Items),2023,3,129.5000
UK,Price Level,CPI (All Items),2023,4,130.1000
UK,Price Level,CPI YoY Growth Rate,2020,1,0.0333
UK,Price Level,CPI YoY Growth Rate,2020,2,0.0333
UK,Price Level,CPI YoY Growth Rate,2020,3,0.1667
UK,Price Level,CPI YoY Growth Rate,2020,4,0.0333
UK,Price Level,CPI YoY Growth Rate,2021,1,0.0667
UK,Price Level,CPI YoY Growth Rate,2021,2,0.5333
UK,Price Level,CPI YoY Growth Rate,2021,3,0.3000
UK,Price Level,CPI YoY Growth Rate,2021,4,0.6667
UK,Price Level,CPI YoY Growth Rate,2022,1,0.5333
UK,Price Level,CPI YoY Growth Rate,2022,2,1.1333
UK,Price Level,CPI YoY Growth Rate,2022,3,0.5000
UK,Price Level,CPI YoY Growth Rate,2022,4,0.8000
UK,Price Level,CPI YoY Growth Rate,2023,1,0.4333
UK,Price Level,CPI YoY Growth Rate,2023,2,0.6667
UK,Price Level,CPI YoY Growth Rate,2023,3,0.2000
UK,Price Level,CPI YoY Growth Rate,2023,4,0.1333
UK,Price Level,CPI YoY Growth Rate,2024,1,0.1000
